epoch	loss	acc	val_loss	val_acc
239	0.011623	1.000000	0.142139	0.974775
240	0.016805	0.994329	0.158571	0.974775
241	0.010498	0.999055	0.151590	0.972973
242	0.011394	0.999055	0.150093	0.976577
243	0.013180	0.999055	0.141482	0.976577
244	0.010547	0.998110	0.150067	0.972973
245	0.012425	0.997164	0.159972	0.969369
246	0.011109	0.996219	0.152851	0.971171
247	0.013746	0.996219	0.151261	0.974775
248	0.012810	0.997164	0.152516	0.976577
249	0.017681	0.995274	0.149724	0.974775
250	0.013809	0.997164	0.154122	0.971171
251	0.014757	0.996219	0.152878	0.974775
252	0.010624	0.999055	0.146774	0.972973
253	0.010908	0.996219	0.162108	0.969369
254	0.010192	0.999055	0.176354	0.969369
255	0.008516	0.999055	0.166590	0.974775
256	0.010119	0.999055	0.155326	0.976577
257	0.017879	0.995274	0.160925	0.971171
258	0.015549	0.998110	0.145509	0.976577
259	0.015494	0.996219	0.148413	0.971171
260	0.011743	0.998110	0.152818	0.976577
261	0.009711	0.999055	0.157024	0.974775
262	0.021057	0.993384	0.149477	0.974775
263	0.011203	0.997164	0.143497	0.976577
264	0.014785	0.996219	0.162426	0.976577
265	0.008731	1.000000	0.151028	0.976577
266	0.013652	0.996219	0.156570	0.974775
267	0.016312	0.996219	0.137803	0.974775
268	0.009292	0.997164	0.155308	0.972973
269	0.014755	0.995274	0.153406	0.974775
270	0.009346	0.997164	0.153283	0.972973
271	0.006010	1.000000	0.147123	0.974775
272	0.011474	0.997164	0.142892	0.972973
273	0.011144	0.999055	0.154609	0.976577
274	0.016982	0.992439	0.162120	0.969369
275	0.013370	0.996219	0.145243	0.976577
276	0.007310	1.000000	0.154012	0.972973
277	0.007943	0.999055	0.147442	0.974775
278	0.010176	0.997164	0.147668	0.974775
279	0.008002	0.999055	0.160691	0.972973
280	0.009858	0.997164	0.154819	0.974775
281	0.012450	0.998110	0.155807	0.972973
282	0.008687	0.999055	0.162301	0.978378
283	0.010887	0.998110	0.155225	0.976577
284	0.012077	0.998110	0.153755	0.974775
285	0.013025	0.999055	0.146803	0.976577
286	0.020931	0.993384	0.151914	0.974775
287	0.011437	0.996219	0.141121	0.972973
288	0.009976	0.998110	0.152166	0.972973
289	0.010268	0.999055	0.149061	0.971171
290	0.015083	0.996219	0.145682	0.976577
291	0.012802	0.995274	0.160109	0.971171
292	0.009901	0.997164	0.146367	0.976577
293	0.011838	0.996219	0.134273	0.976577
294	0.009392	0.998110	0.143654	0.976577
295	0.009447	0.997164	0.139282	0.974775
296	0.008276	0.999055	0.151858	0.972973
297	0.013474	0.994329	0.175912	0.974775
298	0.010339	0.998110	0.151238	0.976577
299	0.010798	0.998110	0.158048	0.972973
